"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 02 14:01:49 MSK 2021","Thu Sep 02 14:01:51 MSK 2021","1609","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineZeroCVCCardCredit","Zero CVC credit, should decline",""
"passed","Thu Sep 02 14:01:15 MSK 2021","Thu Sep 02 14:01:17 MSK 2021","1438","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyMonthPayment","Empty month payment, should decline",""
"passed","Thu Sep 02 14:00:10 MSK 2021","Thu Sep 02 14:00:12 MSK 2021","1463","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyYearPayment","Empty year payment, should decline",""
"failed","Thu Sep 02 14:01:18 MSK 2021","Thu Sep 02 14:01:35 MSK 2021","16968","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineCredit","DECLINED credit, should decline",""
"failed","Thu Sep 02 14:00:06 MSK 2021","Thu Sep 02 14:00:07 MSK 2021","1551","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineWrongDateCredit","NonExisting card date credit, should decline",""
"passed","Thu Sep 02 14:01:02 MSK 2021","Thu Sep 02 14:01:04 MSK 2021","1529","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineZeroYearCardCredit","Zero year credit, should decline",""
"passed","Thu Sep 02 14:01:13 MSK 2021","Thu Sep 02 14:01:14 MSK 2021","1371","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyCardHolderPayment","Empty cardholder payment, should decline",""
"passed","Thu Sep 02 14:01:17 MSK 2021","Thu Sep 02 14:01:18 MSK 2021","1607","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyCVCCredit","Empty CVC credit, should decline",""
"passed","Thu Sep 02 14:00:58 MSK 2021","Thu Sep 02 14:00:59 MSK 2021","1539","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineShortCardCredit","Short card credit, should decline",""
"failed","Thu Sep 02 14:01:48 MSK 2021","Thu Sep 02 14:01:49 MSK 2021","1540","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineSymbolCardHolderCredit","Symbol cardholder credit, should decline",""
"passed","Thu Sep 02 14:00:59 MSK 2021","Thu Sep 02 14:01:01 MSK 2021","1531","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineExpiredMonthCardPayment","Expired month payment, should decline",""
"passed","Thu Sep 02 14:00:22 MSK 2021","Thu Sep 02 14:00:33 MSK 2021","10839","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldWorkPayment","APPROVED payment, should pass",""
"failed","Thu Sep 02 14:00:39 MSK 2021","Thu Sep 02 14:00:56 MSK 2021","16834","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclinePayment","DECLINED payment, should decline",""
"passed","Thu Sep 02 13:59:55 MSK 2021","Thu Sep 02 14:00:06 MSK 2021","10707","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineFakeCardPayment","Fake card payment, should decline",""
"passed","Thu Sep 02 14:00:15 MSK 2021","Thu Sep 02 14:00:16 MSK 2021","1491","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineExpiredCardPayment","Expired card payment, should decline",""
"passed","Thu Sep 02 14:01:01 MSK 2021","Thu Sep 02 14:01:02 MSK 2021","1465","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyCVCPayment","Empty CVC payment, should decline",""
"passed","Thu Sep 02 14:00:33 MSK 2021","Thu Sep 02 14:00:34 MSK 2021","1528","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineExpiredMonthCardCredit","Expired month credit, should decline",""
"passed","Thu Sep 02 14:00:16 MSK 2021","Thu Sep 02 14:00:18 MSK 2021","1455","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyCardHolderCredit","Empty cardholder credit, should decline",""
"passed","Thu Sep 02 14:01:04 MSK 2021","Thu Sep 02 14:01:13 MSK 2021","8713","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineFakeCardCredit","Fake card credit, should decline",""
"passed","Thu Sep 02 14:01:46 MSK 2021","Thu Sep 02 14:01:48 MSK 2021","1552","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyMonthCredit","Empty month credit, should decline",""
"passed","Thu Sep 02 14:01:52 MSK 2021","Thu Sep 02 14:01:54 MSK 2021","1560","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineShortCVCCardPayment","Short CVC payment, should decline",""
"passed","Thu Sep 02 14:00:34 MSK 2021","Thu Sep 02 14:00:36 MSK 2021","1484","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineShortCardPayment","Short card payment, should decline",""
"failed","Thu Sep 02 14:00:09 MSK 2021","Thu Sep 02 14:00:10 MSK 2021","1409","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineSymbolCardHolderPayment","Symbol cardholder payment, should decline",""
"failed","Thu Sep 02 14:00:56 MSK 2021","Thu Sep 02 14:00:58 MSK 2021","1877","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineWrongDatePayment","NonExisting card date payment, should decline",""
"passed","Thu Sep 02 14:01:38 MSK 2021","Thu Sep 02 14:01:46 MSK 2021","7623","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldWorkCredit","APPROVED credit, should pass",""
"passed","Thu Sep 02 14:00:18 MSK 2021","Thu Sep 02 14:00:19 MSK 2021","1463","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineFutureYearCardPayment","Future year payment, should decline",""
"passed","Thu Sep 02 14:00:12 MSK 2021","Thu Sep 02 14:00:13 MSK 2021","1493","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineEmptyYearCredit","Empty year credit, should decline",""
"passed","Thu Sep 02 14:00:36 MSK 2021","Thu Sep 02 14:00:38 MSK 2021","1535","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineExpiredYearCardCredit","Expired year credit, should decline",""
"passed","Thu Sep 02 13:59:48 MSK 2021","Thu Sep 02 13:59:55 MSK 2021","7396","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineShortCVCCardCredit","Short CVC credit, should decline",""
"passed","Thu Sep 02 14:01:37 MSK 2021","Thu Sep 02 14:01:38 MSK 2021","1503","","ru.netology.test.PageTest","","ru.netology.test.PageTest","shouldDeclineZeroCVCCardPayment","Zero CVC payment, should decline",""
